n	lnTxt	etiquetado	nbSyl	met	metNoExtra	lnTyp	match
dario	Siempre sale pulido, siempre ameno;	Siempre sale pulido, siempre ameno;	11	1 3 6 8 10	1 3 6 8 10	Endecasílabo melódico pleno	1.0
dario	a Guardia ofreció amargo, rudo acíbar;	a Guardia ofreció amargo, rudo acíbar;	11	2 5 6 8 10	2 6 8 10	Endecasílabo heroico largo	0.9
dario	flores da a Barrios, flores a Zaldívar,	flores da a Barrios, flores a Zaldívar,	11	1 3 4 6 10	1 3 6 10	Endecasílabo melódico corto	0.9
dario	hurras al genio, y al tirano cieno.	hurras al genio y   al tirano cieno	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
dario	He aquí El Ferro-Carril, con redactores	He aquí El Ferro-Carril, con redactores	11	1 2 6 10	2 6 10	Endecasílabo heroico puro	0.9
dario	que le honran, con Hernández y Somoza.	que le honran, con Hernández y Somoza.	12	3 7 11	-	Dodecasílabo	1.0
dario	Merece de nosotros mil loores,	Merece de nosotros mil loores,	11	2 6 8 10	2 6 8 10	Endecasílabo heroico largo	1.0
dario	ya que no le brindamos otra cosa;	ya que no le brindamos otra cosa;	11	1 3 6 8 10	1 3 6 8 10	Endecasílabo melódico pleno	1.0
dario	y sobre todo, que es bastante módico	y sobre todo, que es bastante módico	11	4 6 8 10	4 6 8 10	Endecasílabo sáfico largo	1.0
dario	para ser, como es, un buen periódico.	para ser como   es un buen periódico	11	3 6 7 8 10	3 6 8 10	Endecasílabo melódico largo	0.9
dario	No vayas al altar, Santo Tirano,	No vayas al altar, Santo Tirano,	11	1 2 6 7 10	2 6 10	Endecasílabo heroico puro	0.8
dario	que profanas de Dios la eterna idea	que profanas de Dios la eterna idea	11	3 6 8 10	3 6 8 10	Endecasílabo melódico largo	1.0
dario	aún la sangre caliente roja humea	ún la sangre caliente roja humea	11	1 3 6 8 10	1 3 6 8 10	Endecasílabo melódico pleno	1.0
dario	en tu estola, en tu cáliz, en tu mano.	en tu estola, en tu cáliz, en tu mano.	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	La sacra luz del pensamiento humano	La sacra luz del pensamiento humano	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
dario	ahora ante tu frente centellea:	ahora ante tu frente centellea:	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
dario	proclamas tu poder ¡maldito sea!	proclamas tu poder ¡maldito sea!	11	2 6 8 10	2 6 8 10	Endecasílabo heroico largo	1.0
dario	pues es tu bendición augurio insano.	pues es tu bendición augurio insano.	11	2 6 8 10	2 6 8 10	Endecasílabo heroico largo	1.0
dario	La basílica cruje en conmociones	La basílica cruje en conmociones 	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	y se enciende la luz de los ciriales;	y se enciende la luz de los ciriales;	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	tu cantas los oremus y oraciones	tu cantas los oremus y oraciones	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
dario	y te besan el pie los sacristanes	y te besan el pie los sacristanes	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	¡Oh! No ensucies al Cristo entre tu cieno	¡Oh! No ensucies al Cristo entre tu cieno 	11	1 2 3 6 10	1 3 6 10	Endecasílabo melódico corto	0.9
dario	No escupais en el rostro al Nazareno!...	No escupais en el rostro al Nazareno!...	11	1 2 6 10	2 6 10	Endecasílabo heroico puro	0.9
dario	Dulce como la miel de los panales	Dulce como la miel de los panales 	11	1 6 10	1 6 10	Endecasílabo enfático puro	1.0
dario	que en las ramas del árbol gotas deja,	que en las ramas del árbol gotas deja, 	11	3 6 8 10	3 6 8 10	Endecasílabo melódico largo	1.0
dario	cuando la liba zumbadora abeja	cuando la liba zumbadora abeja 	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
dario	que gira sobre juncos y gramales;	que gira sobre juncos y gramales;	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
dario	sonora cual las brisas otoñales	sonora cual las brisas otoñales 	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
dario	que el eco vago de sentida queja	que el eco vago de sentida queja 	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
dario	parecen derramar, cuando se aleja	parecen derramar, cuando se aleja 	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
dario	Véspero entre los verdes robledales;	Véspero entre los verdes robledales; 	11	1 6 10	1 6 10	Endecasílabo enfático puro	1.0
dario	como el murmullo de la fuente suave	como el murmullo de la fuente suave 	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
dario	que se desliza con rumor escaso,	que se desliza con rumor escaso, 	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
dario	y como el dulce cántico de ave:	y como el dulce cántico de   ave	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	así en la Égloga está de Garcilaso,	así en la Égloga está de Garcilaso,	11	2 3 6 10	2 6 10	Endecasílabo heroico puro	0.9
dario	llena de majestad, pura y galana,	llena de majestad, pura y galana, 	11	1 6 7 10	1 6 10	Endecasílabo enfático puro	0.9
dario	la armoniosa Poesía Castellana.	la   armoniosa p#es#í castellana	11	4 7 10	4 10	Endecasílabo sáfico difuso	0.9
dario	Góngora, con las ondas de su ingenio,	Góngora, con las ondas de su ingenio, 	11	1 6 10	1 6 10	Endecasílabo enfático puro	1.0
dario	antes tranquilo manantial de amores,	antes tranquilo manantial de amores, 	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
dario	derramó de su mente los fulgores	derramó de su mente los fulgores 	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	de la española musa en el proscenio.	de la española musa en el proscenio. 	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	Mas, ¡ay!, la ruda tempestad del genio	Mas, ¡ay!, la ruda tempestad del genio 	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
dario	con sus horrendos rayos vibradores,	con sus horrendos rayos vibradores, 	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	de su alma en el vergel, tronchó las flores	de su alma en el vergel, tronchó las flores 	11	2 6 8 10	2 6 8 10	Endecasílabo heroico largo	1.0
dario	que aromaron su dulce primigenio.	que aromaron su dulce primigenio. 	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	No de otro modo a la risueña Hecate,	No de otro modo a la risueña Hecate, 	11	1 2 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	0.9
dario	cada en los aires nubarrón sombrío	cada en los aires nubarrón sombrío 	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
dario	cuando Aquilón sañoso al roble abate,	cuando Aquilón sañoso al roble abate,	11	4 6 8 10	4 6 8 10	Endecasílabo sáfico largo	1.0
dario	la dulce faz enturbia.  El murmurío	la dulce faz enturbia.  El murmurío 	12	2 4 6 11	-	Dodecasílabo	1.0
dario	del de su numen manantial rïente,	del de su numen manantial rïente, 	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
dario	trocose en el rugido del torrente.	trocose en el rugido del torrente. 	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
dario	¿Quién aparece con su voz ahora	¿Quién aparece con su voz ahora 	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
dario	dominando en la hispana poesía?	dominando en la hispana poesía? 	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	¿Quién trajo, en el raudal de su armonía	¿Quién trajo, en el raudal de su armonía	11	1 2 6 10	2 6 10	Endecasílabo heroico puro	0.9
dario	sátira perspicaz, nota sonora?	sátira perspicaz, nota sonora? 	11	1 6 7 10	1 6 10	Endecasílabo enfático puro	0.9
dario	¿Quién, cuando ríe alegre, triste	qi~én cuando ríe   alegre triste	11	2 5 8 10	2 6 8 10	Endecasílabo heroico largo	0.8
dario	y en sus cantos derrama la alegría,	y en sus cantos derrama la alegría, 	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	al par que con su acento arrancaría	al par que con su acento arrancaría 	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
dario	lágrima de los ojos, quemadora?	lágrima de los ojos, quemadora? 	11	1 6 10	1 6 10	Endecasílabo enfático puro	1.0
dario	¿Quién nos ofrece su cantar hermoso?	¿Quién nos ofrece su cantar hermoso? 	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
dario	¿Quién engalana el Español Parnaso	¿Quién engalana el Español Parnaso 	11	1 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	1.0
dario	y quién ataca al gongorismo nulo?	y quién ataca al gongorismo nulo? 	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
dario	Francisco de Quevedo, ese coloso	Francisco de Quevedo, ese coloso 	11	2 6 7 10	2 6 10	Endecasílabo heroico puro	0.9
dario	que pudiera montar en el Pegaso	que pudiera montar en el Pegaso 	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	al par de Juvenal y Tibulo	al par de Juvenal y Tibulo	10	2 6 9	2 6 9	Decasílabo heroico no hemistiquial puro	1.0
dario	En este Edén del mundo americano	En este Edén del mundo americano	11	2 4 6 10	2 4 6 10	Endecasílabo heroico corto	1.0
dario	Do te trajeron procelosos vientos,	Do te trajeron procelosos vientos,	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
dario	No escuchar te entristece los concentos	No escuchar te entristece los concentos	11	1 3 6 10	1 3 6 10	Endecasílabo melódico corto	1.0
dario	Y armonías de aquel suelo italiano.	Y armonías de aquel suelo italiano.	11	3 6 7 10	3 6 10	Endecasílabo melódico puro	0.9
dario	Calla, que cuando tu mueves la mano	Calla, que cuando tu mueves la mano	11	1 7 10	1 4 10	Endecasílabo sáfico difuso pleno	0.8
dario	Y notas das a los favonios lentos	Y notas das a los favonios lentos	11	2 4 8 10	2 4 8 10	Endecasílabo sáfico largo pleno	1.0
dario	De tu ITALIA se escuchan los acentos	De tu ITALIA se escuchan los acentos	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	En las cuerdas sonoras de tu piano.	En las cuerdas sonoras de tu piano. 	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	A el corre, pues, alegre y placentero:	A el corre, pues, alegre y placentero:	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
dario	La gloria del artista no es un mito,	La gloria del artista no es un mito,	11	2 6 8 9 10	2 6 8 10	Endecasílabo heroico largo	0.9
dario	Y al cruzar de la vida en el sendero,	Y al cruzar de la vida en el sendero,	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	Tiene solo un ideal, ideal bendito,	Tiene solo un ideal, ideal bendito,	13	1 3 4 7 10 12	-	Tridecasílabo	1.0
dario	Una patria, mi hogar, el mundo entero,	Una patria, mi hogar, el mundo entero,	11	1 3 6 8 10	1 3 6 8 10	Endecasílabo melódico pleno	1.0
dario	Y una contemplación: ¡el Infinito! ...	Y una contemplación: ¡el Infinito! ... 	11	1 6 10	1 6 10	Endecasílabo enfático puro	1.0
dario	Del sacerdote el canto funerario,	Del sacerdote el canto funerario,	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	los acentos del místico salterio,	los acentos del místico salterio,	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	y las cruces del triste cementerio	y las cruces del triste cementerio	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	y el humo que despide el incensario;	y el humo que despide el incensario;	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
dario	y la esquila del alto campanario	y la esquila del alto campanario	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	y la oración envuelta en el misterio,	y la oración envuelta en el misterio,	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
dario	la quietud del oculto monasterio	la quietud del oculto monasterio	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	y la lámpara que arde ante el santuario;	y la lámpara que arde ante el santuario;	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	todo eso da consuelo, luz y vida:	todo eso da consuelo, luz y vida:	11	1 2 4 6 8 10	2 4 6 8 10	Endecasílabo heroico pleno	0.9
dario	las esperanzas del creyente escuda,	las esperanzas del creyente escuda,	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
dario	y levanta a la fe desfallecida,	y levanta a la fe desfallecida,	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	con elocuencia que conmueve, muda;	con elocuencia que conmueve, muda;	11	4 8 10	4 8 10	Endecasílabo sáfico puro	1.0
dario	y el bálsamo es del alma que está herida	y el bálsamo es del alma que está herida	11	2 4 6 9 10	2 4 6 10	Endecasílabo heroico corto	0.9
dario	por el hierro candente de la duda.	por el hierro candente de la duda.	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
dario	«Bernal ya es Sacerdote. –¡Desgraciado!	«Bernal ya es Sacerdote. –¡Desgraciado!	11	2 3 6 10	2 6 10	Endecasílabo heroico puro	0.9
dario	–Bernal ya es Sacerdote. –¡Qué espantoso!	 –Bernal ya es Sacerdote. –¡Qué espantoso!	11	2 3 6 8 10	2 6 8 10	Endecasílabo heroico largo	0.9
